study,condition,qualification
study interventions are erlotinib hydrochloride, solid neoplasm diagnosis and psychiatric illness social situations that would limit compliance with study requirements,1
study interventions are carmustine, anaplastic large cell lymphoma diagnosis and active infection at the start of lenalidomide,1
study interventions are microwave ablation, lung neoplasms diagnosis and subject is pregnant or breast feeding,1
study interventions are erlotinib hydrochloride, cholangiocarcinoma of the extrahepatic bile duct diagnosis and other concurrent chemotherapy immunotherapy radiotherapy or any other therapy or supportive care considered investigational,1
study interventions are hpph, recurrent squamous cell carcinoma of the nasopharynx diagnosis and platelet count less_than one hundred zero,1
study interventions are transarterial chemoembolisation, hepatocellular carcinoma diagnosis and female patients who are pregnant breast feeding or pre menopausal and not practising efficient contraceptive method hormonal contraceptive intra uterine device,1
study interventions are pravastatin, stomach cancer diagnosis and patients with evidence of bleeding diathesis or coagulopathy,1
study interventions are carmustine, testicular lymphoma diagnosis and total cd thirty-four positive greater_than equal_than two ten six kg or if unable to collect this dose total nucleated cell bone marrow dose of greater_than equal_than x ten eight kg,1
study interventions are veliparib, lung cancer diagnosis and subject has significant history of cardiovascular disease,1
study interventions are pharmacogenomic studies, advanced adult primary liver cancer diagnosis and patients who have had chemotherapy biologic therapy or immunotherapy within four weeks six weeks for nitrosoureas or mitomycin prior to entering the study or those who have not recovered from adverse events to grade one or less due to agents administered more than four weeks earlier,1
study interventions are dabrafenib, melanoma diagnosis and known hiv hepatitis or virus positive status or history of active tuberculosis testing prior to randomisation is not required,1
study interventions are veliparib, metastatic malignant neoplasm diagnosis and unstable angina pectoris,1
study interventions are allostim-8, advanced or refractory leukemia lymphoma multiple myeloma diagnosis and no known human immunodeficiency virus hiv positive,1
study interventions are ferrosoferric oxide, stage iiic breast cancer diagnosis and human immunodeficiency virus hiv positive patients on combination antiretroviral therapy are ineligible,1
study interventions are correlative laboratory samples, recurrent small lymphocytic lymphoma diagnosis and patients requiring treatment with strong cytochrome pfour hundred and fifty threeafour five cypthreeafour five and or cytochrome pfour hundred and fifty twodsix cyptwodsix inhibitor,1
study interventions are vidarabine, multiple myeloma diagnosis and patients with stable disease are eligible for transplantation if the largest residual nodal mass is less_than five cm approximately,1
study interventions are radiotherapy after rfa, liver cancer diagnosis and excluded therapies and medications previous and concomitant,1
study interventions are folic acid, stage iib fallopian tube cancer diagnosis and active infection requiring antibiotics,1
study interventions are microwave ablation, cancer of the lung diagnosis and subject has another location of disease that is not controlled and there are no plans for control,1
study interventions are endothelial growth factors, pancreatic cancer diagnosis and known or suspected allergy to sorafenib or any agent given in the course of this trial,1
study interventions are azacitidine, carcinoma non small cell lung diagnosis and replacement therapy eg thyroxine insulin or physiologic corticosteroid replacement therapy for adrenal or pituitary insufficiency etc,1
study interventions are cpi-613, metastatic cancer diagnosis and pregnant women or women of child bearing potential not using reliable means of contraception because the teratogenic potential of cpi six hundred and thirteen is unknown,1
study interventions are antibodies, recurrent small lymphocytic lymphoma diagnosis and fish abnormality of seventeenp deletions note,1
